game_card_id,base_id,swogi_card_id,name_en,name_zh,hp_cost,qi_cost,category,phase,level,text_zh,text_en
2,2,615011,Unrestrained Sword - Flame Dance,狂剑•炎舞,0,0,character_specific,5,1,"2攻
[击伤]：施加1层[外伤]
若用过“狂剑”则[再次行动]","2 ATK
[Injured]: Apply 1 stacks of [Wound]
If you have played ""Unrestrained Sword"" card in this battle, [Chase]"
10002,2,615012,Unrestrained Sword - Flame Dance,狂剑•炎舞,0,0,character_specific,5,2,"2攻
[击伤]：施加2层[外伤]
若用过“狂剑”则[再次行动]","2 ATK
[Injured]: Apply 2 stacks of [Wound]
If you have played ""Unrestrained Sword"" card in this battle, [Chase]"
20002,2,615013,Unrestrained Sword - Flame Dance,狂剑•炎舞,0,0,character_specific,5,3,"2攻
[击伤]：施加3层[外伤]
若用过“狂剑”则[再次行动]","2 ATK
[Injured]: Apply 3 stacks of [Wound]
If you have played ""Unrestrained Sword"" card in this battle, [Chase]"
3,3,614011,Cloud Sword - Avalanche,云剑•崩雪,0,0,character_specific,4,1,"4攻
[连云]：每连续用过1张“云剑”多4攻","4 ATK
[Cloud Hit]: For every successive ""Cloud Sword"" played before this card, add 4 more ATK"
10003,3,614012,Cloud Sword - Avalanche,云剑•崩雪,0,0,character_specific,4,2,"4攻
[连云]：每连续用过1张“云剑”多5攻","4 ATK
[Cloud Hit]: For every successive ""Cloud Sword"" played before this card, add 5 more ATK"
20003,3,614013,Cloud Sword - Avalanche,云剑•崩雪,0,0,character_specific,4,3,"4攻
[连云]：每连续用过1张“云剑”多6攻","4 ATK
[Cloud Hit]: For every successive ""Cloud Sword"" played before this card, add 6 more ATK"
5,5,624021,Within Reach,瓮中捉鳖,0,0,character_specific,4,1,"9攻
对方每有1层[负面状态]，此牌多2攻","9 ATK
For each stack of [Debuff] the opponent has, this card gets 2 more ATK"
10005,5,624022,Within Reach,瓮中捉鳖,0,0,character_specific,4,2,"9攻
对方每有1层[负面状态]，此牌多3攻","9 ATK
For each stack of [Debuff] the opponent has, this card gets 3 more ATK"
20005,5,624023,Within Reach,瓮中捉鳖,0,0,character_specific,4,3,"9攻
对方每有1层[负面状态]，此牌多4攻","9 ATK
For each stack of [Debuff] the opponent has, this card gets 4 more ATK"
6,6,623031,Flame Flutter,灯焰飞舞,0,0,character_specific,3,1,"3攻
施加1～3层[内伤]","3 ATK
Apply 1～3 stack(s) of [Internal Injury]"
